2025-03-19 02:05:13 | SubID: 67da2659e4f73 | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T12:00:00.000Z
2025-03-19 02:16:17 | SubID: 67da28f1cf627 | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T12:00:00.000Z
2025-03-19 02:17:53 | SubID: 67da2951b565b | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T12:00:00.000Z
2025-03-19 02:33:17 | SubID: 67da2ced32dea | Event: lead_click | Prelanding: preland2 | Timestamp: 2023-03-19T12:00:00.000Z
2025-03-19 02:36:44 | SubID: 67da2dbca27db | Event: lead_click | Prelanding: site4 | Timestamp: 2023-03-19T12:00:00.000Z
2025-03-19 14:34:27 | SubID: 67dad5f349cd7 | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T14:30:00Z
2025-03-19 14:45:29 | SubID: 67dad889a63e7 | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T15:30:00Z
2025-03-19 14:50:41 | SubID: 67dad9c195ed3 | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T15:45:00Z
2025-03-19 14:57:08 | SubID: 67dadb30c311e | Event: lead_click | Prelanding: preland1 | Timestamp: 2025-03-19T14:57:08.207Z
2025-03-19 15:02:34 | SubID: 67dadb30c311e | Event: lead_click | Prelanding: preland1 | Timestamp: 2025-03-19T15:02:34.936Z
2025-03-19 15:06:11 | SubID: 67dadd635c8aa | Event: lead_click | Prelanding: preland1 | Timestamp: 2023-03-19T16:00:00Z
2025-03-19 15:12:04 | SubID: 67d8fd258c488 | Event: lead_click | Prelanding: preland2 | Timestamp: 2025-03-19T15:12:04.255Z
